Public RD&D spending in Million,,Source: IEA All rights reserved ( http://www.iea.org/t&c/termsandconditions/ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Currency,Economic Indicators,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Estimated,2022 Estimated
Australia,National Currency (2021 prices),Total Budget ,..,..,..,..,..,98.237,187.635,223.168,..,324,..,203.606,..,165.045,..,206.829,..,..,..,228.078,..,230.687,..,303.573,..,257.914,..,271.84,..,250.153,500.054,355.149,386.364,428.292,436.014,597.452,598.039,696.78,913.041,1123.76,362.487,329.142,197.477,228.306,338.355,249.337,309.562,408.327,..
Australia,USD (2021 prices and exchange rates),Energy efficiency ,..,..,..,..,..,0,18.26,21.527,..,32.593,..,19.974,..,10.651,..,11.112,..,..,..,10.325,..,20.733,..,14.684,..,13.385,..,17.966,..,16.685,58.219,36.634,33.165,36.003,42.992,38.413,122.185,88.165,63.86,63.038,26.062,25.994,18.765,23.713,38.17,24.476,37.003,31.414,..
Australia,USD (2021 prices and exchange rates),Fossil fuels,..,..,..,..,..,49.887,70.165,80.733,..,112.727,..,78.159,..,66.551,..,74.241,..,..,..,104.887,..,89.819,..,164.389,..,126.524,..,124.216,..,102.401,64.836,61.222,70.984,75.004,70.796,293.122,207.47,233.511,352.131,287.122,136.621,56.85,37.003,57.264,56.434,39.261,36.806,104.307,..
Australia,USD (2021 prices and exchange rates),Renewables,..,..,..,..,..,23.92,33.679,41.702,..,32.896,..,21.376,..,2.067,..,9.435,..,..,..,16.971,..,7.974,..,11.847,..,19.105,..,20.317,..,19.93,46.574,33.15,42.47,51.331,45.181,86.493,90.925,176.125,229.095,455.295,82.78,133.673,49.116,57.768,62.493,32.993,49.199,31.155,..
Australia,USD (2021 prices and exchange rates),Nuclear ,..,..,..,..,..,0,0,0,..,38.038,..,24.087,..,41.811,..,37.773,..,..,..,1.786,..,11.656,..,1.716,..,5.095,..,5.582,..,1.66,36.776,24.994,19.265,16.434,25.621,2.831,2.762,5.428,10.325,7.82,6.912,8.048,15.342,8.45,8.077,8.19,12.209,13.543,..
Australia,USD (2021 prices and exchange rates),Hydrogen and fuel cells ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.359,0,0.219,0.688,0.328,1.2,2.248,2.237,0.201,1.631,3.575,3.662,3.394,4.958,41.072,36.805,41.224,75.229,..
Australia,USD (2021 prices and exchange rates),Other power and storage technologies,..,..,..,..,..,0,6.56,7.278,..,12.603,..,8.812,..,2.126,..,19.513,..,..,..,12.794,..,10.061,..,9.386,..,16.805,..,10.822,..,7.73,11.549,13.666,14.47,14.474,14.086,16.711,12.763,10.613,16.912,21.148,9.41,14.823,16.333,14.31,32.561,17.204,27.616,16.778,..
Australia,USD (2021 prices and exchange rates),Other cross-cutting technologies/research ,..,..,..,..,..,0,12.309,16.429,..,14.595,..,0.565,..,0.814,..,3.32,..,..,..,24.595,..,33.075,..,26.056,..,12.86,..,25.334,..,39.539,157.382,97.162,109.709,127.848,128.582,10.104,10.962,7.421,13.456,8.244,0.193,1.938,2.246,2.168,15.406,28.4,28.521,34.355,..
Australia,USD (2021 prices and exchange rates),Unallocated ,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,6.79,2.3,6.168,2.899,0,0,0,0,..
Australia,USD (2021 prices and exchange rates),Total Budget,..,..,..,..,..,73.807,140.973,167.669,..,243.426,..,152.972,..,124.001,..,155.394,..,..,..,171.358,..,173.319,..,228.079,..,193.775,..,204.237,..,187.944,375.698,266.829,290.281,321.782,327.584,448.875,449.316,523.501,685.981,844.298,272.342,247.289,148.367,171.53,254.211,187.331,232.579,306.782,..
Australia,USD (2021 prices and PPP),Energy efficiency,..,..,..,..,..,0,16.601,19.571,..,29.632,..,18.16,..,9.684,..,10.102,..,..,..,9.387,..,18.85,..,13.35,..,12.169,..,16.334,..,15.169,52.93,33.306,30.152,32.732,39.087,34.923,111.085,80.156,58.058,57.311,23.694,23.633,17.06,21.559,34.702,22.252,33.641,28.56,..
Australia,USD (2021 prices and PPP),Fossil fuels ,..,..,..,..,..,45.355,63.791,73.399,..,102.486,..,71.058,..,60.505,..,67.497,..,..,..,95.358,..,81.659,..,149.455,..,115.029,..,112.931,..,93.098,58.946,55.66,64.536,68.19,64.365,266.493,188.622,212.297,320.141,261.038,124.209,51.686,33.641,52.062,51.307,35.695,33.462,94.831,..
Australia,USD (2021 prices and PPP),Renewables ,..,..,..,..,..,21.747,30.62,37.914,..,29.907,..,19.434,..,1.879,..,8.578,..,..,..,15.43,..,7.25,..,10.771,..,17.37,..,18.471,..,18.12,42.343,30.139,38.612,46.668,41.077,78.635,82.665,160.125,208.283,413.932,75.26,121.529,44.654,52.52,56.816,29.996,44.73,28.324,..
Australia,USD (2021 prices and PPP),Nuclear,..,..,..,..,..,0,0,0,..,34.582,..,21.899,..,38.012,..,34.342,..,..,..,1.624,..,10.597,..,1.56,..,4.633,..,5.074,..,1.509,33.435,22.723,17.515,14.941,23.293,2.574,2.511,4.935,9.387,7.11,6.284,7.317,13.948,7.682,7.343,7.446,11.1,12.313,..
Australia,USD (2021 prices and PPP),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.327,0,0.199,0.626,0.298,1.091,2.044,2.033,0.183,1.483,3.25,3.329,3.086,4.508,37.341,33.462,37.479,68.395,..
Australia,USD (2021 prices and PPP),Other power and storage technologies ,..,..,..,..,..,0,5.964,6.617,..,11.458,..,8.012,..,1.933,..,17.74,..,..,..,11.632,..,9.147,..,8.533,..,15.279,..,9.839,..,7.027,10.5,12.425,13.155,13.159,12.806,15.193,11.604,9.649,15.376,19.227,8.555,13.476,14.849,13.01,29.603,15.641,25.107,15.254,..
